distance,elevation,gradient,hypso
21769.9900654465,3131,0.735391052434009,NaN
21752.3123959169,3118,0.678822509939086,0.5
21734.6347263872,3106,0.339411254969543,0.493333333333339
21716.9570568576,3100,0.32,0.443548387096774
21704.4570568576,3096,0.32,0.405714285714281
21691.9570568576,3092,0.4,0.388888888888885
21679.4570568576,3087,0.4,0.392857142857141
21666.9570568576,3082,0.4,0.461538461538462
21654.4570568576,3077,0.4,0.486651411136535
21641.9570568576,3072,0.4,0.506048387096774
21629.4570568576,3067,0.4,0.521194029850747
21616.9570568576,3062,0.4,0.533119658119656
21604.4570568576,3057,0.48,0.542568542568543
21591.9570568576,3051,0.48,0.555077452667812
21579.4570568576,3045,0.509116882454314,0.564897326617591
21561.7793873279,3036,0.622253967444162,0.584693877551022
21544.1017177982,3025,0.56,0.537114261884904
21531.6017177982,3018,0.339411254969543,0.557962264150945
21513.9240482686,3012,0.24,0.553639585605235
21501.4240482686,3009,0.32,0.558644828952582
21488.9240482686,3005,0.339411254969543,0.566425120772946
21471.2463787389,2999,0.678822509939086,0.579408212560386
21453.5687092092,2987,0.735391052434009,0.606487621573828
21435.8910396796,2974,0.48,0.631315430131998
21423.3910396796,2968,0.282842712474619,0.638498789346247
21405.7133701499,2963,0.226274169979695,0.643090569561158
21388.0357006202,2959,0.339411254969543,0.645425724637681
21370.3580310906,2953,0.565685424949238,0.651196172248803
21352.6803615609,2943,0.565685424949238,0.663155737704917
21335.0026920312,2933,0.282842712474619,0.597076239822354
21317.3250225016,2928,0.113137084989848,0.591205689771957
21299.6473529719,2926,0.24,0.593532765758025
21287.1473529719,2923,0.24,0.567157627779945
21274.6473529719,2920,0.32,0.563955628982771
21262.1473529719,2916,0.4,0.567196711210028
21249.6473529719,2911,0.4,0.573141722707111
21237.1473529719,2906,0.3195703125,0.572956330829131
21224.6473529719,2902.00537109375,0.000179538831160647,0.52322290809799
21206.9696834422,2902.00219726562,0.00017578125,0.509190577301604
21194.4696834422,2902,0.08,0.506422788497083
21181.9696834422,2901,0.226274169979695,0.506664685503782
21164.2920139126,2897,0.45254833995939,0.514214641382887
21146.6143443829,2889,0.509116882454314,0.529030063822025
21128.9366748533,2880,0.395247831460504,0.544648143708103
21111.2590053236,2873.01293945312,0.000179538831160647,0.528219755616282
21093.5813357939,2873.009765625,0.000179538831160647,0.527868392567885
21075.9036662643,2873.00659179688,0.00017578125,0.499055215409607
21063.4036662643,2873.00439453125,0.00017578125,0.492809998757416
21050.9036662643,2873.00219726562,0.00017578125,0.487035332362879
21038.4036662643,2873,0.113137084989848,0.486752844427482
21020.7259967346,2871,0.282842712474619,0.489956453652304
21003.0483272049,2866,0.169705627484771,0.480077838448549
20985.3706576753,2863,0.16,0.478237773620533
20972.8706576753,2861,0.16,0.480782612465277
20960.3706576753,2859,0.169705627484771,0.483497107650927
20942.6929881456,2856,0.169705627484771,0.486660902223761
20925.0153186159,2853,0.24,0.491000215317841
20912.5153186159,2850,0.24,0.495240676620237
20900.0153186159,2847,0.169705627484771,0.49810127998969
20882.3376490863,2844,0.07931640625,0.502882171107708
20869.8376490863,2843.00854492188,0.000179538831160647,0.500865416059885
20852.1599795566,2843.00537109375,0.000179538831160647,0.500619129310699
20834.4823100269,2843.00219726562,0.00017578125,0.459425702237783
20821.9823100269,2843,0.08,0.459224924596377
20809.4823100269,2842,0.08,0.460419310262752
20796.9823100269,2841,0.0565685424949238,0.443827677534487
20779.3046404973,2840,0.169705627484771,0.445294594004078
16585.2813742384,2193,0.24,0.378469412714123
16572.7813742384,2190,0.24,0.380407883443845
16560.2813742384,2187,0.32,0.382325155212467
16547.7813742384,2183,0.16,0.3844346048488
16535.2813742384,2181,0.16,0.385522553935513
16522.7813742384,2179,0.08,0.38664072722915
16510.2813742384,2178,0.08,0.387223870211252
16497.7813742384,2177,0.24,0.387744475982584
16485.2813742384,2174,0.16,0.389603736344735
16472.7813742384,2172,0.24,0.39085167833553
16460.2813742384,2169,0.282842712474619,0.392718550079745
20761.6269709676,2837,0.169705627484771,0.449837931270319
16727.9590437681,2194.02197265625,0.00017578125,0.381136263028139
16715.4590437681,2194.01977539062,0.00017578125,0.380966990008825
16702.9590437681,2194.017578125,0.00017578125,0.380904230490657
16690.4590437681,2194.01538085938,0.00017578125,0.380570037691786
16677.9590437681,2194.01318359375,0.00017578125,0.379923502294126
16665.4590437681,2194.01098632812,0.00017578125,0.379749197809393
16652.9590437681,2194.0087890625,0.00017578125,0.379328408923776
16640.4590437681,2194.00659179688,0.00017578125,0.378740820036496
16627.9590437681,2194.00439453125,0.00017578125,0.378582733065726
16615.4590437681,2194.00219726562,0.00017578125,0.3783413934994
16602.9590437681,2194,0.0565685424949238,0.377841540177917
16442.6037047088,2164,0.226274169979695,0.395773851556903
20743.9493014379,2834,0.16,0.447259235097556
20731.4493014379,2832,0.169705627484771,0.449122698202282
20510.7386233193,2765,0.24,0.508617605699499
20498.2386233193,2762,0.16,0.50935908218926
20485.7386233193,2760,0.08,0.511736366666132
20473.2386233193,2759,0.08,0.509773069650742
20460.7386233193,2758,0.16,0.510682298287245
20448.2386233193,2756,0.16,0.492621366992541
20435.7386233193,2754,0.24,0.491048869449351
20423.2386233193,2751,0.32,0.494779579606544
20410.7386233193,2747,0.4,0.492570868931772
20398.2386233193,2742,0.8,0.497751629086852
20385.7386233193,2732,0.8,0.50980796405704
20373.2386233193,2722,0.64,0.521284026438741
20360.7386233193,2714,0.64,0.530040918599776
20348.2386233193,2706,0.4,0.536487692703688
20335.7386233193,2701,0.24,0.540711166645533
20323.2386233193,2698,0.07982421875,0.534382604961459
20310.7386233193,2697.00219726562,0.00017578125,0.530775048040506
16843.4920523571,2204.00219726562,0.00017578125,0.38197437973341
16830.9920523571,2204,0.08,0.374948206330976
16818.4920523571,2203,0.16,0.375595058254619
16805.9920523571,2201,0.169705627484771,0.376893648839447
16745.6367132978,2194.02514648438,0.000179538831160647,0.381276293068094
16424.9260351791,2160,0.339411254969543,0.398168155880552
20713.7716319083,2829,0.16,0.451621089258786
20701.2716319083,2827,0.16,0.454908853582637
20688.7716319083,2825,0.32,0.457459125503202
20676.2716319083,2821,0.32,0.463660524477234
20663.7716319083,2817,0.339411254969543,0.469383102772718
20540.9162928489,2776,0.48,0.505254612794649
20528.4162928489,2770,0.282842712474619,0.504627590136175
20298.2386233193,2697,0.0565685424949238,0.51685244257883
16861.1697218868,2204.00537109375,0.000179538831160647,0.382702163672915
16788.3143828274,2198,0.16,0.378737419209882
16775.8143828274,2196,0.157734375,0.380004469800966
16763.3143828274,2194.0283203125,0.000179538831160647,0.381283429352312
16407.2483656494,2154,0.4,0.401614886016426
16394.7483656494,2149,0.45254833995939,0.40459646163965
20646.0939623786,2811,0.24,0.475402476445337
20633.5939623786,2808,0.32,0.479910150625359
20621.0939623786,2804,0.24,0.48585441018694
20608.5939623786,2801,0.24,0.490170332356088
20596.0939623786,2798,0.4,0.494407906218367
20583.5939623786,2793,0.48,0.501432220569355
20571.0939623786,2787,0.4,0.509633452801176
20558.5939623786,2782,0.339411254969543,0.509163448618844
20280.5609537896,2696,0.113137084989848,0.517198886009192
16873.6697218868,2205,0.0795703125,0.382313107284095
16377.0706961198,2141,0.339411254969543,0.40926717729732
15744.2279836452,2097,0.4,0.390313230882284
15731.7279836452,2092,0.4,0.393202515220402
15719.2279836452,2087,0.32,0.396060679949188
15706.7279836452,2083,0.15861328125,0.398306771993668
15694.2279836452,2081.01733398438,0.00017578125,0.399378279082425
15681.7279836452,2081.01513671875,0.000179538831160647,0.399272881129927
20262.88328426,2694,0.113137084989848,0.518008371127126
16886.1697218868,2205.00317382812,0.00025390625,0.382320582776627
