distance,elevation,gradient,hypso
16934.0250609461,3092.00317382812,0.000179538831160647,0.378882049494115
16946.5250609461,3092.00537109375,0.00017578125,0.38640473309359
16916.3473914164,3092,0.0565685424949238,0.364329306520055
16964.2027304758,3092.00854492188,0.000179538831160647,0.446993460069276
16976.7027304758,3093,0.07931640625,0.44253294495331
16898.6697218868,3091,0.113137084989848,0.38096034300041
16994.3804000054,3094,0.0565685424949238,0.430037853014694
16880.9920523571,3089,0.169705627484771,0.41028018298007
17006.8804000054,3094.00317382812,0.00025390625,0.496578682165764
17019.3804000054,3095,0.07974609375,0.529887087015999
16863.3143828274,3086,0.226274169979695,0.455464657194196
17037.0580695351,3096,0.0565685424949238,0.518130733311234
16429.2153570604,2991,0.282842712474619,0.664567430247866
16441.7153570604,2994,0.24,0.703415832736605
16454.2153570604,2996,0.16,0.6997266875373
16466.7153570604,2996.00317382812,0.00025390625,0.700646055211534
16479.2153570604,2998,0.15974609375,0.70443067210468
16820.6367132978,3076,0.169705627484771,0.550705987574514
16833.1367132978,3079,0.24,0.531746337430271
16845.6367132978,3082,0.24,0.503971326104522
17049.5580695351,3097,0.08,0.556061702244715
16411.5376875308,2986,0.45254833995939,0.676005434558195
16496.8930265901,3001,0.169705627484771,0.71520737946644
16802.9590437681,3073,0.0562647075498827,0.54272453998138
17062.0580695351,3099,0.16,0.541213187205951
16393.8600180011,2978,0.509116882454314,0.688088341610148
16514.5706961198,3003,0.113137084989848,0.711529849528026
16527.0706961198,3006,0.24,0.70969604187315
16785.2813742384,3072.00537109375,0.000179538831160647,0.525385590265666
17079.7357390648,3102,0.169705627484771,0.497626604352672
16376.1823484715,2969,0.509116882454314,0.705460638889884
16544.7483656494,3012,0.339411254969543,0.706851664789196
16557.2483656494,3017,0.4,0.698220202198249
16569.7483656494,3023,0.48,0.703177272202952
16582.2483656494,3029,0.48,0.685621001102601
16594.7483656494,3036,0.56,0.661794057666038
16607.2483656494,3043,0.56,0.633714923791687
16619.7483656494,3048,0.4,0.610697872121711
16632.2483656494,3051,0.24,0.595718056853295
16644.7483656494,3055,0.32,0.573293063618799
16657.2483656494,3057,0.16,0.56150474938286
16742.6037047088,3071,0.113137084989848,0.484780836770198
16755.1037047088,3072,0.08,0.51736882257841
16767.6037047088,3072.00219726562,0.00017578125,0.518465902565626
17097.4134085944,3105,0.169705627484771,0.432711387322396
16358.5046789418,2960,0.339411254969543,0.708951104457697
16674.9260351791,3059,0.113137084989848,0.553524152487626
16687.4260351791,3061,0.16,0.541138835091325
16699.9260351791,3064,0.24,0.530968666829699
16712.4260351791,3066,0.16,0.520079975371432
16724.9260351791,3069,0.24,0.494843253571848
17115.0910781241,3106,0.0565685424949238,0.42160172895953
16217.9716703528,2934,0.226274169979695,0.650564441324645
16230.4716703528,2935,0.08,0.649244707473037
16242.9716703528,2936,0.08,0.65610654366934
16255.4716703528,2937,0.08,0.657302813111268
16303.3270094121,2940,0.112957546158687,0.692189076583148
16315.8270094121,2944,0.32,0.693393369437823
16328.3270094121,2949,0.4,0.69447703538942
16340.8270094121,2954,0.4,0.69051662933205
17127.5910781241,3107,0.08,0.494450321903939
16200.2940008231,2930,0.226274169979695,0.656223647508029
16273.1493398825,2938,0.0565685424949238,0.660428673136836
16285.6493398825,2938.00317382812,0.00025390625,0.665096416118738
17157.7687476537,3108.00317382812,0.00025390625,0.448300221520643
17145.2687476537,3108,0.0565685424949238,0.497842367593356
16170.1163312935,2925,0.226274169979695,0.646162335920796
16182.6163312935,2926,0.08,0.652857020339451
17170.2687476537,3109,0.07974609375,0.587412587412578
16152.4386617638,2921,0.282842712474619,0.651226801707101
17182.7687476537,3112,0.24,0.6
16134.7609922342,2916,0.282842712474619,0.657697355192498
17195.2687476537,3115,0.24,0.599999999999974
16104.5833227045,2906,0.339411254969543,0.669816797449384
16117.0833227045,2911,0.4,0.662592142526028
17207.7687476537,3118,0.24,0.5625
16086.9056531748,2900,0.282842712474619,0.672594826036481
17220.2687476537,3120,0.16,0.5
16056.7279836452,2892,0.169705627484771,0.666894417426522
16069.2279836452,2895,0.24,0.672178383289182
17237.9464171834,3122,0.113137084989848,NaN
16039.0503141155,2889,0.282842712474619,0.663531551071545
16021.3726445858,2884,0.565685424949238,0.670061323802586
16003.6949750562,2874,0.791959594928933,0.682770130599518
15986.0173055265,2860,0.678822509939086,0.699092860280426
15955.8396359968,2845,0.08,0.669454774767703
15968.3396359968,2848,0.24,0.697483003014381
15943.3396359968,2844,0.113137084989848,0.665595224263966
15925.6619664672,2842,0.113137084989848,0.663573817388411
15907.9842969375,2840,0.282842712474619,0.665518036268574
15890.3066274079,2835,0.45254833995939,0.670876793315557
15872.6289578782,2827,0.395979797464467,0.679308832202481
15854.9512883485,2820,0.169705627484771,0.678975441034852
15837.2736188189,2817,0.0565685424949238,0.629640072300846
15819.5959492892,2816,0.169705627484771,0.62080465895589
15789.4182797595,2809,0.226274169979695,0.625209674789823
15801.9182797595,2813,0.32,0.623509104829342
15580.3192539926,2756,0.169705627484771,0.58038857490751
15592.8192539926,2758,0.16,0.58093363594626
15605.3192539926,2758.00219726562,0.00017578125,0.581167561729582
15771.7406102299,2805,0.565685424949238,0.629586043875134
15562.6415844629,2753,0.226274169979695,0.583083846594312
15622.9969235222,2761,0.169581331370891,0.615895782025137
15754.0629407002,2795,0.735391052434009,0.640516188363387
15544.9639149332,2749,0.113137084989848,0.586380822622648
15640.6745930519,2764,0.169705627484771,0.615484173780813
15653.1745930519,2766,0.16,0.615418945227065
