,alt_mean,pend_mean,freq
0,49.0,0.8307991265093239,103
1,50.0,0.8087288466210548,1040
2,51.0,1.023066593744987,1786
3,52.0,1.9733146256382614,1574
4,53.0,0.7625426631712174,17327
5,54.0,3.0976949243600043,5161
6,55.0,4.630360558621855,4150
7,56.0,4.9764774483385805,4220
8,57.0,4.011584389649454,5856
9,58.0,4.904697674173781,5168
10,59.0,5.04826282202007,5157
11,60.0,5.843500352554297,4559
12,61.0,6.437347110150671,4165
13,62.0,5.809105522124974,4476
14,63.0,5.6038155519829855,4500
15,64.0,6.259308541716444,3901
16,65.0,4.686375713978217,5205
17,66.0,4.197861313385047,5620
18,67.0,4.9538000312236825,4950
19,68.0,5.591716103160861,3926
20,69.0,6.140994946762268,3177
21,70.0,6.367631276118017,2825
22,71.0,6.075615970364474,2582
23,72.0,5.948162884889765,2350
24,73.0,6.527420825959518,1883
25,74.0,6.683561665619292,1640
26,75.0,6.3692145755713625,1478
27,76.0,6.282908044811478,1330
28,77.0,5.465256297123441,1359
29,78.0,5.939603406085328,1073
30,79.0,5.744361614103371,885
31,80.0,5.709218453410213,652
32,81.0,6.515809790376739,429
33,82.0,6.682436606439493,295
34,83.0,6.9641526172694554,219
35,84.0,6.493493700804918,184
36,85.0,6.8995154490470885,125
37,86.0,8.112612707640535,93
38,87.0,7.028136438206781,79
39,88.0,6.957091469031114,78
40,89.0,5.004559710468214,97
41,90.0,5.834282398223877,60
42,91.0,4.830112228790919,36
43,92.0,4.287632239901501,23
44,93.0,8.980405262538365,7
45,94.0,6.811837482452392,5
46,95.0,3.1112068742513657,4
