,alt_mean,pend_mean,freq
0,230.85415108451758,4.594476290933214,1337
1,243.86023547284466,6.2766782614245775,2633
2,257.9071327683616,9.145457743777563,2832
3,272.0586690017513,10.858694939170048,3426
4,285.7441749881122,11.19586446763672,4206
5,299.3933488667655,12.018102767709403,4721
6,313.67964565306966,14.116319803308448,4854
7,327.823652453741,13.402995465565189,6215
8,340.8753818941952,13.787761343332479,6219
9,354.4298612046894,13.934169255599647,7421
10,368.234649381261,14.136837232077761,8485
11,382.6692957746479,14.941545465012672,8875
12,396.3686247271284,15.046631030352444,10078
13,410.601304188097,15.383626809624255,10888
14,424.50620457365716,16.0431987350449,11282
15,438.6139752110652,16.911236302801665,11134
16,452.53160232319783,16.893346558394676,11708
17,466.4529301213053,17.07952395352404,11706
18,480.4336275674758,16.83192323057442,11782
19,494.3579085950724,17.440331428133277,10634
20,508.4414161008729,17.545054572080662,10310
21,522.4966294395814,18.263465994565898,9939
22,536.3969427515236,18.348991427552345,10009
23,550.4646632124352,18.80230765630544,9650
24,564.5935784567581,18.353260715781932,9655
25,578.36,18.765741917847254,8950
26,592.392775436484,19.26319467572833,8305
27,606.4384066879763,19.089980432771483,8134
28,620.4909209666885,19.39082966040039,7655
29,634.4836683417085,20.228423005172754,7164
30,648.5317711922812,19.984813330101193,7255
31,662.4891319207109,19.62870243776358,7315
32,676.5741839762611,19.3577135872545,7414
33,690.0581818181818,19.582552603501263,6600
34,703.3965440850686,19.406054004126716,6771
35,717.3790540540541,20.841967555900684,5920
36,731.5581187410587,21.006048589518482,5592
37,745.3717724713648,21.899839041441812,5151
38,759.5646178092986,21.71819713751663,5076
39,773.4143356643357,21.440855460416557,5148
40,787.4109616145627,22.04214787890093,5054
41,801.5590243902438,21.69281479285403,5125
42,815.4610257359748,20.981323229319695,5401
43,829.4811547714514,22.22742762896378,4988
44,843.5579710144928,21.72932258909845,5244
45,857.336967101421,22.33149550115178,5137
46,871.5079494496534,22.86116284826946,4906
47,885.4173570836786,22.30995845386038,4828
48,899.46875,23.43222344073085,4448
49,913.4803966789668,23.274961668255695,4336
50,927.5391885661595,23.01430508689487,4338
51,941.3657766990291,23.144115631672943,4120
52,955.5118005833996,24.23642458708019,3771
53,969.5342323651453,22.739028627246125,3856
54,983.3195316961736,23.985850528878256,3502
55,997.4571520618557,25.454172088755005,3104
56,1011.4585865046371,24.39780661073934,3127
57,1025.4344429347825,24.249222587530866,2944
58,1038.8755886970173,25.072455526684855,2548
59,1052.2437729685587,26.46486802427756,2449
60,1066.2141176470589,27.14219374395819,2125
61,1080.5105074320861,28.65274499759254,1951
62,1094.4851534977354,26.857382700169694,1987
63,1108.6185682326623,26.351372497093756,1788
64,1122.4216216216216,25.868154714343785,1665
65,1136.2968152866242,25.65824755289752,1570
66,1150.529614325069,25.86689651685641,1452
67,1164.4965986394557,26.82594338453636,1323
68,1178.132880698351,28.425606604112687,1031
69,1192.4780023781213,30.53587890153266,841
70,1206.4097135740972,28.5718852707636,803
71,1220.1093990755007,28.24378402051279,649
72,1234.0858283433133,31.003345246086578,501
73,1248.4793388429753,36.0121079883628,363
74,1262.7223880597014,36.53019881177305,335
75,1276.6164383561643,32.6301642953533,365
76,1290.3333333333333,32.561523765646,372
77,1304.5111111111112,32.25367213090261,360
78,1318.4956772334294,32.048275345684125,347
79,1332.239263803681,32.139093776422044,326
80,1346.5501618122978,32.00990056219996,309
81,1360.3617021276596,32.325400007532,282
82,1374.298245614035,32.23916082884136,285
83,1387.9341085271317,31.14007410152938,258
84,1401.5238095238096,31.173841484009273,252
85,1415.7306273062732,29.290929474074023,271
86,1429.6021126760563,29.284312751931203,284
87,1443.574297188755,31.225814060992505,249
88,1457.6625514403293,30.77811455039821,243
89,1471.5543071161048,29.56278794177909,267
90,1485.4191176470588,28.425967181430142,272
91,1499.8031746031745,22.27307857937283,315
92,1512.7150259067357,24.010459492243633,193
93,1526.9886363636363,31.96476492963054,88
94,1541.5243902439024,31.665901905152857,82
95,1555.120481927711,28.485626956066454,83
96,1568.9866666666667,27.06399626413981,75
97,1581.5333333333333,29.108116404215494,30
98,1596.8461538461538,32.18451925424429,13
99,1605.75,26.362276077270508,4
