,alt_mean,pend_mean,freq
0,72.0,0.6754316497211674,1315
1,73.0,1.2840540796601962,1069
2,74.0,3.1687788674779473,597
3,75.0,5.948698666878045,320
4,76.0,6.15278029790584,376
5,77.0,6.999476380386049,315
6,78.0,1.3702397342889931,3140
7,79.0,2.6036913492417404,2146
8,80.0,2.8870738578402886,2426
9,81.0,4.980358002134325,1713
10,82.0,3.955740309782996,2591
11,83.0,5.238223526356677,2165
12,84.0,4.508323873082797,2976
13,85.0,7.188525680881558,1980
14,86.0,6.05611675367875,2551
15,87.0,4.856121220468512,3591
16,88.0,7.259693659513181,2515
17,89.0,8.378414187907968,2331
18,90.0,7.172979774850782,2786
19,91.0,7.242690559074994,3163
20,92.0,7.71498707887759,2946
21,93.0,8.37906535948696,2839
22,94.0,8.179554896770332,3063
23,95.0,8.277223249433076,3045
24,96.0,9.645483663347546,2578
25,97.0,8.961899529931882,2794
26,98.0,7.4152109906369565,3468
27,99.0,8.389493381729041,3172
28,100.0,7.94524626448291,3405
29,101.0,8.907799707489588,2959
30,102.0,9.106515319053905,2819
31,103.0,8.175037837409377,3036
32,104.0,9.080567303327145,2735
33,105.0,8.573922140245648,2826
34,106.0,8.394938866915526,2700
35,107.0,8.25588896130524,2549
36,108.0,8.291475894688286,2433
37,109.0,5.728665486093309,3493
38,110.0,8.982764194695424,2012
39,111.0,9.109325214284953,1784
40,112.0,8.923431952206041,1756
41,113.0,7.8770394868357885,1790
42,114.0,8.804014001216315,1429
43,115.0,8.16711756774289,1496
44,116.0,9.25176647541445,1162
45,117.0,9.508118844119121,961
46,118.0,9.4630353994725,778
47,119.0,9.76658860909214,773
48,120.0,9.373025526233944,619
49,121.0,9.20679534828482,593
50,122.0,8.932387330218784,449
51,123.0,9.477245625627653,409
52,124.0,9.422446478390302,305
53,125.0,9.490650082144755,257
54,126.0,8.850150607271893,205
55,127.0,9.399420227543,155
56,128.0,10.101693268193573,122
57,129.0,10.642855200361698,94
58,130.0,7.529145663479964,120
59,131.0,9.374912725640582,77
60,132.0,9.401031884280117,66
61,133.0,10.383270880237955,61
62,134.0,9.077887232487019,52
63,135.0,8.894828053712844,50
64,136.0,9.589178020889694,37
65,137.0,9.196099395751952,25
66,138.0,9.802675874609696,19
67,139.0,11.916791037509316,19
68,140.0,10.04487029995237,14
69,141.0,12.315196925943548,11
70,142.0,12.001195589701334,9
71,143.0,11.839800953865051,8
72,144.0,16.366239929199217,5
73,145.0,17.18466510772705,5
74,146.0,15.7792179107666,5
75,147.0,11.691551685333252,2
76,148.0,14.71561368306478,3
77,149.0,12.70936450958252,5
78,150.0,9.327098369598389,2
79,151.0,6.8427734375,1
80,152.0,5.938446998596191,3
