,alt_mean,pend_mean,freq
0,43.0,0.6337404445247051,12139
1,44.0,4.086595136630774,2245
2,45.0,3.9867185535016945,2753
3,46.0,3.896326973406464,3299
4,47.0,5.160774130562524,2433
5,48.0,3.326741958085911,4724
6,49.0,1.8204816498680094,10997
7,50.0,3.768942112300129,6457
8,51.0,2.4111463482129945,12590
9,52.0,4.639061437876109,7258
10,53.0,4.633442922179262,7980
11,54.0,5.340579554955626,7061
12,55.0,4.980716834888712,7890
13,56.0,3.9835039889952473,10303
14,57.0,4.57403251463343,9570
15,58.0,5.556019797172275,7939
16,59.0,5.408413980808402,7945
17,60.0,3.272563170971971,13624
18,61.0,5.318398593770772,7962
19,62.0,5.744775850768946,7314
20,63.0,5.58389904738972,6837
21,64.0,5.630514898951097,6245
22,65.0,5.749999067635339,5541
23,66.0,5.767490525662672,4997
24,67.0,6.14499603242969,4122
25,68.0,5.726421869262397,3954
26,69.0,5.372996804840171,3880
27,70.0,5.392478381677916,3434
28,71.0,6.139434059378688,2898
29,72.0,6.126610200428763,2622
30,73.0,5.963081465281401,2403
31,74.0,5.288345859626308,2531
32,75.0,5.396488294347646,2264
33,76.0,5.749013744543124,1949
34,77.0,5.8639645208537985,1607
35,78.0,5.720942574977219,1454
36,79.0,5.434034631465571,1252
37,80.0,5.521218028608581,1011
38,81.0,5.341680605510001,799
39,82.0,4.426559934450614,706
40,83.0,4.405380382558307,466
41,84.0,4.576442062366204,244
42,85.0,4.349975658580661,160
43,86.0,4.402340171592576,84
44,87.0,4.135017544992508,31
45,88.0,4.545935565775091,11
46,89.0,3.078341484069824,2
