,alt_mean,pend_mean,freq
0,42.0,0.2412918178244703,58039
1,43.0,2.0439514208117506,12542
2,44.0,1.5858620991160048,21871
3,45.0,1.7825932976323935,23697
4,46.0,2.449995012742987,16852
5,47.0,2.4240918506797504,15509
6,48.0,2.6650389741522162,12521
7,49.0,1.2968721277259634,29667
8,50.0,2.5048315177284013,16738
9,51.0,2.3420172817208424,17629
10,52.0,2.33191509071121,17294
11,53.0,2.466917789565147,16324
12,54.0,2.6363679813973935,14511
13,55.0,2.2592697886710162,16369
14,56.0,2.7390089153250057,12000
15,57.0,1.3773172577140895,27373
16,58.0,1.8915896303941753,22382
17,59.0,2.2266672042588556,19179
18,60.0,1.7687296711794775,26991
19,61.0,1.4638902963716773,40922
20,62.0,2.5391384091412785,24830
21,63.0,2.6650189187037316,22951
22,64.0,2.3629798395612602,24412
23,65.0,2.5942193769068917,19914
24,66.0,2.5648187497045787,17960
25,67.0,2.3629422588871627,16422
26,68.0,2.7788667020313023,11697
27,69.0,2.2402071033446074,12873
28,70.0,2.7265288902310125,9429
29,71.0,2.6428777600351805,8392
30,72.0,2.927926837783109,6301
31,73.0,2.8400931788445916,5467
32,74.0,3.180880515540083,3982
33,75.0,2.7522015680531378,3644
34,76.0,3.118217043264097,2203
35,77.0,3.2560080014704877,1224
36,78.0,3.5020704097217985,540
37,79.0,3.558163715912415,222
38,80.0,4.755476724184477,65
39,81.0,3.6569954607221815,45
40,82.0,2.435203516483307,10
